account_type,month_number,balance
1yr_CD,1,5020.37
1yr_CD,2,5040.82
1yr_CD,3,5061.36
1yr_CD,4,5081.98
1yr_CD,5,5102.68
1yr_CD,6,5123.47
1yr_CD,7,5144.34
1yr_CD,8,5165.3
1yr_CD,9,5186.35
1yr_CD,10,5207.48
1yr_CD,11,5228.69
1yr_CD,12,5249.99
1yr_CD,13,5271.38
1yr_CD,14,5292.86
1yr_CD,15,5314.42
1yr_CD,16,5336.07
1yr_CD,17,5357.81
1yr_CD,18,5379.64
1yr_CD,19,5401.55
1yr_CD,20,5423.56
1yr_CD,21,5445.66
1yr_CD,22,5467.84
1yr_CD,23,5490.12
1yr_CD,24,5512.48
1yr_CD,25,5534.94
1yr_CD,26,5557.49
1yr_CD,27,5580.13
1yr_CD,28,5602.87
1yr_CD,29,5625.69
1yr_CD,30,5648.61
1yr_CD,31,5671.62
1yr_CD,32,5694.73
1yr_CD,33,5717.93
1yr_CD,34,5741.22
1yr_CD,35,5764.61
1yr_CD,36,5788.1
1yr_CD,37,5811.68
1yr_CD,38,5835.36
1yr_CD,39,5859.13
1yr_CD,40,5883
1yr_CD,41,5906.97
1yr_CD,42,5931.03
1yr_CD,43,5955.2
1yr_CD,44,5979.46
1yr_CD,45,6003.82
1yr_CD,46,6028.28
1yr_CD,47,6052.84
1yr_CD,48,6077.5
1yr_CD,49,6102.26
1yr_CD,50,6127.12
1yr_CD,51,6152.08
1yr_CD,52,6177.14
1yr_CD,53,6202.31
1yr_CD,54,6227.57
1yr_CD,55,6252.95
1yr_CD,56,6278.42
1yr_CD,57,6304
1yr_CD,58,6329.68
1yr_CD,59,6355.47
1yr_CD,60,6381.36
3yr_CD,1,5018.42
3yr_CD,2,5036.9
3yr_CD,3,5055.45
3yr_CD,4,5074.07
3yr_CD,5,5092.76
3yr_CD,6,5111.51
3yr_CD,7,5130.34
3yr_CD,8,5149.23
3yr_CD,9,5168.2
3yr_CD,10,5187.23
3yr_CD,11,5206.34
3yr_CD,12,5225.51
3yr_CD,13,5244.76
3yr_CD,14,5264.07
3yr_CD,15,5283.46
3yr_CD,16,5302.92
3yr_CD,17,5322.45
3yr_CD,18,5342.05
3yr_CD,19,5361.73
3yr_CD,20,5381.48
3yr_CD,21,5401.3
3yr_CD,22,5421.19
3yr_CD,23,5441.15
3yr_CD,24,5461.19
3yr_CD,25,5481.31
3yr_CD,26,5501.5
3yr_CD,27,5521.76
3yr_CD,28,5542.09
3yr_CD,29,5562.51
3yr_CD,30,5582.99
3yr_CD,31,5603.55
3yr_CD,32,5624.19
3yr_CD,33,5644.91
3yr_CD,34,5665.7
3yr_CD,35,5686.56
3yr_CD,36,5707.51
3yr_CD,37,5728.53
3yr_CD,38,5749.63
3yr_CD,39,5770.8
3yr_CD,40,5792.06
3yr_CD,41,5813.39
3yr_CD,42,5834.8
3yr_CD,43,5856.29
3yr_CD,44,5877.86
3yr_CD,45,5899.51
3yr_CD,46,5921.23
3yr_CD,47,5943.04
3yr_CD,48,5964.93
3yr_CD,49,5986.9
3yr_CD,50,6008.95
3yr_CD,51,6031.08
3yr_CD,52,6053.29
3yr_CD,53,6075.59
3yr_CD,54,6097.96
3yr_CD,55,6120.42
3yr_CD,56,6142.96
3yr_CD,57,6165.59
3yr_CD,58,6188.29
3yr_CD,59,6211.09
3yr_CD,60,6233.96
5yr_CD,1,5016.37
5yr_CD,2,5032.79
5yr_CD,3,5049.27
5yr_CD,4,5065.8
5yr_CD,5,5082.39
5yr_CD,6,5099.03
5yr_CD,7,5115.72
5yr_CD,8,5132.47
5yr_CD,9,5149.27
5yr_CD,10,5166.13
5yr_CD,11,5183.05
5yr_CD,12,5200.02
5yr_CD,13,5217.04
5yr_CD,14,5234.12
5yr_CD,15,5251.26
5yr_CD,16,5268.45
5yr_CD,17,5285.7
5yr_CD,18,5303.01
5yr_CD,19,5320.37
5yr_CD,20,5337.79
5yr_CD,21,5355.26
5yr_CD,22,5372.8
5yr_CD,23,5390.39
5yr_CD,24,5408.03
5yr_CD,25,5425.74
5yr_CD,26,5443.5
5yr_CD,27,5461.33
5yr_CD,28,5479.21
5yr_CD,29,5497.14
5yr_CD,30,5515.14
5yr_CD,31,5533.2
5yr_CD,32,5551.31
5yr_CD,33,5569.49
5yr_CD,34,5587.72
5yr_CD,35,5606.02
5yr_CD,36,5624.37
5yr_CD,37,5642.79
5yr_CD,38,5661.26
5yr_CD,39,5679.8
5yr_CD,40,5698.39
5yr_CD,41,5717.05
5yr_CD,42,5735.77
5yr_CD,43,5754.54
5yr_CD,44,5773.39
5yr_CD,45,5792.29
5yr_CD,46,5811.25
5yr_CD,47,5830.28
5yr_CD,48,5849.37
5yr_CD,49,5868.52
5yr_CD,50,5887.73
5yr_CD,51,5907.01
5yr_CD,52,5926.35
5yr_CD,53,5945.75
5yr_CD,54,5965.22
5yr_CD,55,5984.75
5yr_CD,56,6004.34
5yr_CD,57,6024
5yr_CD,58,6043.72
5yr_CD,59,6063.51
5yr_CD,60,6083.36
banking,1,5020.5
banking,2,5041.08
banking,3,5061.75
banking,4,5082.51
banking,5,5103.34
banking,6,5124.27
banking,7,5145.28
banking,8,5166.37
banking,9,5187.55
banking,10,5208.82
banking,11,5230.18
banking,12,5251.62
banking,13,5273.16
banking,14,5294.78
banking,15,5316.48
banking,16,5338.28
banking,17,5360.17
banking,18,5382.15
banking,19,5404.21
banking,20,5426.37
banking,21,5448.62
banking,22,5470.96
banking,23,5493.39
banking,24,5515.91
banking,25,5538.53
banking,26,5561.23
banking,27,5584.03
banking,28,5606.93
banking,29,5629.92
banking,30,5653
banking,31,5676.18
banking,32,5699.45
banking,33,5722.82
banking,34,5746.28
banking,35,5769.84
banking,36,5793.5
banking,37,5817.25
banking,38,5841.1
banking,39,5865.05
banking,40,5889.1
banking,41,5913.24
banking,42,5937.49
banking,43,5961.83
banking,44,5986.27
banking,45,6010.82
banking,46,6035.46
banking,47,6060.21
banking,48,6085.05
banking,49,6110
banking,50,6135.05
banking,51,6160.21
banking,52,6185.46
banking,53,6210.82
banking,54,6236.29
banking,55,6261.86
banking,56,6287.53
banking,57,6313.31
banking,58,6339.19
banking,59,6365.19
banking,60,6391.28
investing,1,5047.5
investing,2,5095.45
investing,3,5143.86
investing,4,5192.72
investing,5,5242.06
investing,6,5291.86
investing,7,5342.13
investing,8,5392.88
investing,9,5444.11
investing,10,5495.83
investing,11,5548.04
investing,12,5600.75
investing,13,5653.95
investing,14,5707.67
investing,15,5761.89
investing,16,5816.63
investing,17,5871.88
investing,18,5927.67
investing,19,5983.98
investing,20,6040.83
investing,21,6098.22
investing,22,6156.15
investing,23,6214.63
investing,24,6273.67
investing,25,6333.27
investing,26,6393.44
investing,27,6454.17
investing,28,6515.49
investing,29,6577.39
investing,30,6639.87
investing,31,6702.95
investing,32,6766.63
investing,33,6830.91
investing,34,6895.81
investing,35,6961.32
investing,36,7027.45
investing,37,7094.21
investing,38,7161.6
investing,39,7229.64
investing,40,7298.32
investing,41,7367.65
investing,42,7437.65
investing,43,7508.3
investing,44,7579.63
investing,45,7651.64
investing,46,7724.33
investing,47,7797.71
investing,48,7871.79
investing,49,7946.57
investing,50,8022.06
investing,51,8098.27
investing,52,8175.21
investing,53,8252.87
investing,54,8331.27
investing,55,8410.42
investing,56,8490.32
investing,57,8570.98
investing,58,8652.4
investing,59,8734.6
investing,60,8817.58
